image,type,source,csd_target
v245_00_structured_worksheet_template_claude.png,Structured Worksheet Template,claude,0.5279
v245_01_structured_worksheet_template_chatgpt.png,Structured Worksheet Template,chatgpt,0.4508
v245_02_structured_worksheet_template_qwen.png,Structured Worksheet Template,qwen,0.5279
v245_03_data_visualization_chart_claude.png,Data Visualization Chart,claude,0.5311
v245_04_data_visualization_chart_chatgpt.png,Data Visualization Chart,chatgpt,0.7088
v245_05_data_visualization_chart_qwen.png,Data Visualization Chart,qwen,0.7639
v245_06_historical_figure_portrait_claude.png,Historical Figure Portrait,claude,0.3895
v245_07_historical_figure_portrait_chatgpt.png,Historical Figure Portrait,chatgpt,0.3774
v245_08_historical_figure_portrait_qwen.png,Historical Figure Portrait,qwen,0.4782
v245_09_multi_character_classroom_collaboration_claude.png,Multi-Character Classroom Collaboration,claude,0.5069
v245_10_multi_character_classroom_collaboration_chatgpt.png,Multi-Character Classroom Collaboration,chatgpt,0.7501
v245_11_multi_character_classroom_collaboration_qwen.png,Multi-Character Classroom Collaboration,qwen,0.8764
v245_12_intergenerational_indoor_scene_claude.png,Intergenerational Indoor Scene,claude,0.6388
v245_13_intergenerational_indoor_scene_chatgpt.png,Intergenerational Indoor Scene,chatgpt,0.7517
v245_14_intergenerational_indoor_scene_qwen.png,Intergenerational Indoor Scene,qwen,0.7054
v245_15_single_character_cutout_claude.png,Single-Character Cutout,claude,0.5761
v245_16_single_character_cutout_chatgpt.png,Single-Character Cutout,chatgpt,0.7215
v245_17_single_character_cutout_qwen.png,Single-Character Cutout,qwen,0.8056
v245_18_labeled_science_diagram_claude.png,Labeled Science Diagram,claude,0.6399
v245_19_labeled_science_diagram_chatgpt.png,Labeled Science Diagram,chatgpt,0.6179
v245_20_labeled_science_diagram_qwen.png,Labeled Science Diagram,qwen,0.6779
v245_21_geometric_shape_set_claude.png,Geometric Shape Set,claude,0.4684
v245_22_geometric_shape_set_chatgpt.png,Geometric Shape Set,chatgpt,0.7615
v245_23_geometric_shape_set_qwen.png,Geometric Shape Set,qwen,0.8222
