image,type,source,csd_golden
v252_00_structured_worksheet_template_claude.png,Structured Worksheet Template,claude,0.5337
v252_01_structured_worksheet_template_chatgpt.png,Structured Worksheet Template,chatgpt,0.5361
v252_02_structured_worksheet_template_qwen.png,Structured Worksheet Template,qwen,0.5337
v252_03_data_visualization_chart_claude.png,Data Visualization Chart,claude,0.4888
v252_04_data_visualization_chart_chatgpt.png,Data Visualization Chart,chatgpt,0.5215
v252_05_data_visualization_chart_qwen.png,Data Visualization Chart,qwen,0.5823
v252_06_historical_figure_portrait_claude.png,Historical Figure Portrait,claude,0.4641
v252_07_historical_figure_portrait_chatgpt.png,Historical Figure Portrait,chatgpt,0.396
v252_08_historical_figure_portrait_qwen.png,Historical Figure Portrait,qwen,0.4316
v252_09_multi_character_classroom_collaboration_claude.png,Multi-Character Classroom Collaboration,claude,0.6077
v252_10_multi_character_classroom_collaboration_chatgpt.png,Multi-Character Classroom Collaboration,chatgpt,0.5311
v252_11_multi_character_classroom_collaboration_qwen.png,Multi-Character Classroom Collaboration,qwen,0.5261
v252_12_intergenerational_indoor_scene_claude.png,Intergenerational Indoor Scene,claude,0.5534
v252_13_intergenerational_indoor_scene_chatgpt.png,Intergenerational Indoor Scene,chatgpt,0.5496
v252_14_intergenerational_indoor_scene_qwen.png,Intergenerational Indoor Scene,qwen,0.5428
v252_15_single_character_cutout_claude.png,Single-Character Cutout,claude,0.493
v252_16_single_character_cutout_chatgpt.png,Single-Character Cutout,chatgpt,0.4396
v252_17_single_character_cutout_qwen.png,Single-Character Cutout,qwen,0.4759
v252_18_labeled_science_diagram_claude.png,Labeled Science Diagram,claude,0.5398
v252_19_labeled_science_diagram_chatgpt.png,Labeled Science Diagram,chatgpt,0.4674
v252_20_labeled_science_diagram_qwen.png,Labeled Science Diagram,qwen,0.5025
v252_21_geometric_shape_set_claude.png,Geometric Shape Set,claude,0.7034
v252_22_geometric_shape_set_chatgpt.png,Geometric Shape Set,chatgpt,0.6876
v252_23_geometric_shape_set_qwen.png,Geometric Shape Set,qwen,0.6382
