image,type,source,csd_golden
v247_00_structured_worksheet_template_claude.png,Structured Worksheet Template,claude,0.5281
v247_01_structured_worksheet_template_chatgpt.png,Structured Worksheet Template,chatgpt,0.5501
v247_02_structured_worksheet_template_qwen.png,Structured Worksheet Template,qwen,0.5281
v247_03_data_visualization_chart_claude.png,Data Visualization Chart,claude,0.4586
v247_04_data_visualization_chart_chatgpt.png,Data Visualization Chart,chatgpt,0.4696
v247_05_data_visualization_chart_qwen.png,Data Visualization Chart,qwen,0.5948
v247_06_historical_figure_portrait_claude.png,Historical Figure Portrait,claude,0.464
v247_07_historical_figure_portrait_chatgpt.png,Historical Figure Portrait,chatgpt,0.4201
v247_08_historical_figure_portrait_qwen.png,Historical Figure Portrait,qwen,0.4185
v247_09_multi_character_classroom_collaboration_claude.png,Multi-Character Classroom Collaboration,claude,0.3868
v247_10_multi_character_classroom_collaboration_chatgpt.png,Multi-Character Classroom Collaboration,chatgpt,0.5243
v247_11_multi_character_classroom_collaboration_qwen.png,Multi-Character Classroom Collaboration,qwen,0.5446
v247_12_intergenerational_indoor_scene_claude.png,Intergenerational Indoor Scene,claude,0.3139
v247_13_intergenerational_indoor_scene_chatgpt.png,Intergenerational Indoor Scene,chatgpt,0.5474
v247_14_intergenerational_indoor_scene_qwen.png,Intergenerational Indoor Scene,qwen,0.5527
v247_15_single_character_cutout_claude.png,Single-Character Cutout,claude,0.3098
v247_16_single_character_cutout_chatgpt.png,Single-Character Cutout,chatgpt,0.5152
v247_17_single_character_cutout_qwen.png,Single-Character Cutout,qwen,0.505
v247_18_labeled_science_diagram_claude.png,Labeled Science Diagram,claude,0.5485
v247_19_labeled_science_diagram_chatgpt.png,Labeled Science Diagram,chatgpt,0.466
v247_20_labeled_science_diagram_qwen.png,Labeled Science Diagram,qwen,0.5698
v247_21_geometric_shape_set_claude.png,Geometric Shape Set,claude,0.6453
v247_22_geometric_shape_set_chatgpt.png,Geometric Shape Set,chatgpt,0.6347
v247_23_geometric_shape_set_qwen.png,Geometric Shape Set,qwen,0.6566
