image,type,source,csd_golden
v258_00_structured_worksheet_template_claude.png,Structured Worksheet Template,claude,0.4225
v258_01_structured_worksheet_template_chatgpt.png,Structured Worksheet Template,chatgpt,0.4887
v258_02_structured_worksheet_template_qwen.png,Structured Worksheet Template,qwen,0.4225
v258_03_data_visualization_chart_claude.png,Data Visualization Chart,claude,0.386
v258_04_data_visualization_chart_chatgpt.png,Data Visualization Chart,chatgpt,0.1177
v258_05_data_visualization_chart_qwen.png,Data Visualization Chart,qwen,0.5257
v258_06_historical_figure_portrait_claude.png,Historical Figure Portrait,claude,0.469
v258_07_historical_figure_portrait_chatgpt.png,Historical Figure Portrait,chatgpt,0.4277
v258_08_historical_figure_portrait_qwen.png,Historical Figure Portrait,qwen,0.431
v258_09_multi_character_classroom_collaboration_claude.png,Multi-Character Classroom Collaboration,claude,0.0971
v258_10_multi_character_classroom_collaboration_chatgpt.png,Multi-Character Classroom Collaboration,chatgpt,0.0867
v258_11_multi_character_classroom_collaboration_qwen.png,Multi-Character Classroom Collaboration,qwen,0.0928
v258_12_intergenerational_indoor_scene_claude.png,Intergenerational Indoor Scene,claude,0.2422
v258_13_intergenerational_indoor_scene_chatgpt.png,Intergenerational Indoor Scene,chatgpt,0.0671
v258_14_intergenerational_indoor_scene_qwen.png,Intergenerational Indoor Scene,qwen,0.2506
v258_15_single_character_cutout_claude.png,Single-Character Cutout,claude,0.2642
v258_16_single_character_cutout_chatgpt.png,Single-Character Cutout,chatgpt,0.1899
v258_17_single_character_cutout_qwen.png,Single-Character Cutout,qwen,0.5291
v258_18_labeled_science_diagram_claude.png,Labeled Science Diagram,claude,0.5348
v258_19_labeled_science_diagram_chatgpt.png,Labeled Science Diagram,chatgpt,0.5665
v258_20_labeled_science_diagram_qwen.png,Labeled Science Diagram,qwen,0.6002
v258_21_geometric_shape_set_claude.png,Geometric Shape Set,claude,0.6005
v258_22_geometric_shape_set_chatgpt.png,Geometric Shape Set,chatgpt,0.2017
v258_23_geometric_shape_set_qwen.png,Geometric Shape Set,qwen,0.1982
