run,model,item_id,image,vqascore,custom_cv
v260_ideogram-4-lecture24,ideogram-4,,v260_00_structured_worksheet_template_claude.png,0.8933,0.8174
v260_ideogram-4-lecture24,ideogram-4,,v260_01_structured_worksheet_template_chatgpt.png,0.8654,0.8212
v260_ideogram-4-lecture24,ideogram-4,,v260_02_structured_worksheet_template_qwen.png,0.8933,0.8174
v260_ideogram-4-lecture24,ideogram-4,,v260_03_data_visualization_chart_claude.png,0.7934,0.7713
v260_ideogram-4-lecture24,ideogram-4,,v260_04_data_visualization_chart_chatgpt.png,0.8688,0.8193
v260_ideogram-4-lecture24,ideogram-4,,v260_05_data_visualization_chart_qwen.png,0.8282,0.8179
v260_ideogram-4-lecture24,ideogram-4,,v260_06_historical_figure_portrait_claude.png,0.8587,0.8201
v260_ideogram-4-lecture24,ideogram-4,,v260_07_historical_figure_portrait_chatgpt.png,0.8688,0.8192
v260_ideogram-4-lecture24,ideogram-4,,v260_08_historical_figure_portrait_qwen.png,0.8933,0.8197
v260_ideogram-4-lecture24,ideogram-4,,v260_09_multi_character_classroom_collaboration_claude.png,0.7743,0.8196
v260_ideogram-4-lecture24,ideogram-4,,v260_10_multi_character_classroom_collaboration_chatgpt.png,0.8363,0.8208
v260_ideogram-4-lecture24,ideogram-4,,v260_11_multi_character_classroom_collaboration_qwen.png,0.8587,0.8202
v260_ideogram-4-lecture24,ideogram-4,,v260_12_intergenerational_indoor_scene_claude.png,0.8933,0.8198
v260_ideogram-4-lecture24,ideogram-4,,v260_13_intergenerational_indoor_scene_chatgpt.png,0.8722,0.8213
v260_ideogram-4-lecture24,ideogram-4,,v260_14_intergenerational_indoor_scene_qwen.png,0.8872,0.8185
v260_ideogram-4-lecture24,ideogram-4,,v260_15_single_character_cutout_claude.png,0.8933,0.8191
v260_ideogram-4-lecture24,ideogram-4,,v260_16_single_character_cutout_chatgpt.png,0.896,0.8193
v260_ideogram-4-lecture24,ideogram-4,,v260_17_single_character_cutout_qwen.png,0.9039,0.8207
v260_ideogram-4-lecture24,ideogram-4,,v260_18_labeled_science_diagram_claude.png,0.8722,0.7338
v260_ideogram-4-lecture24,ideogram-4,,v260_19_labeled_science_diagram_chatgpt.png,0.8688,0.8195
v260_ideogram-4-lecture24,ideogram-4,,v260_20_labeled_science_diagram_qwen.png,0.9417,0.8209
v260_ideogram-4-lecture24,ideogram-4,,v260_21_geometric_shape_set_claude.png,0.9039,0.7452
v260_ideogram-4-lecture24,ideogram-4,,v260_22_geometric_shape_set_chatgpt.png,0.8748,0.8201
v260_ideogram-4-lecture24,ideogram-4,,v260_23_geometric_shape_set_qwen.png,0.8545,0.821
