image,type,source,csd_golden
v249_00_structured_worksheet_template_claude.png,Structured Worksheet Template,claude,0.4976
v249_01_structured_worksheet_template_chatgpt.png,Structured Worksheet Template,chatgpt,0.5852
v249_02_structured_worksheet_template_qwen.png,Structured Worksheet Template,qwen,0.4976
v249_03_data_visualization_chart_claude.png,Data Visualization Chart,claude,0.3599
v249_04_data_visualization_chart_chatgpt.png,Data Visualization Chart,chatgpt,0.579
v249_05_data_visualization_chart_qwen.png,Data Visualization Chart,qwen,0.5421
v249_06_historical_figure_portrait_claude.png,Historical Figure Portrait,claude,0.4731
v249_07_historical_figure_portrait_chatgpt.png,Historical Figure Portrait,chatgpt,0.4476
v249_08_historical_figure_portrait_qwen.png,Historical Figure Portrait,qwen,0.4749
v249_09_multi_character_classroom_collaboration_claude.png,Multi-Character Classroom Collaboration,claude,0.4287
v249_10_multi_character_classroom_collaboration_chatgpt.png,Multi-Character Classroom Collaboration,chatgpt,0.6127
v249_11_multi_character_classroom_collaboration_qwen.png,Multi-Character Classroom Collaboration,qwen,0.5578
v249_12_intergenerational_indoor_scene_claude.png,Intergenerational Indoor Scene,claude,0.3567
v249_13_intergenerational_indoor_scene_chatgpt.png,Intergenerational Indoor Scene,chatgpt,0.549
v249_14_intergenerational_indoor_scene_qwen.png,Intergenerational Indoor Scene,qwen,0.4376
v249_15_single_character_cutout_claude.png,Single-Character Cutout,claude,0.271
v249_16_single_character_cutout_chatgpt.png,Single-Character Cutout,chatgpt,0.5467
v249_17_single_character_cutout_qwen.png,Single-Character Cutout,qwen,0.5134
v249_18_labeled_science_diagram_claude.png,Labeled Science Diagram,claude,0.4991
v249_19_labeled_science_diagram_chatgpt.png,Labeled Science Diagram,chatgpt,0.509
v249_20_labeled_science_diagram_qwen.png,Labeled Science Diagram,qwen,0.5761
v249_21_geometric_shape_set_claude.png,Geometric Shape Set,claude,0.5177
v249_22_geometric_shape_set_chatgpt.png,Geometric Shape Set,chatgpt,0.6298
v249_23_geometric_shape_set_qwen.png,Geometric Shape Set,qwen,0.5801
