run,model,item_id,axis,verdict,rationale,retried
v235_pixart-sigma,pixart-sigma,bench_v1_001,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_001,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_001,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_002,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_002,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_002,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_003,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_003,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_003,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_004,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_004,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_004,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_005,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_005,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_005,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_006,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_006,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_006,attribute,pass,상자는 파란색이고 리본은 노란색으로 색이 서로 뒤바뀌지 않았다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_007,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_007,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_007,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_008,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_008,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_008,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_009,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_009,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_009,attribute,pass,"왕의 옷이 빨간색, 왕비의 치마가 파란색으로 색 전이 없이 유지되었습니다.",False
v235_pixart-sigma,pixart-sigma,bench_v1_010,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_010,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_010,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_011,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_011,spatial,pass,농부가 초가집보다 앞(전경)에 위치하고 초가지붕이 식별됩니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_011,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_012,counting,fail,아이들이 총 5명입니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_012,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_012,attribute,pass,아이들은 모두 노란 저고리를 입고 있습니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_013,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_013,spatial,fail,"단풍나무가 오른쪽에 있고, 소나무가 없다.",False
v235_pixart-sigma,pixart-sigma,bench_v1_013,attribute,fail,"단풍나무의 색상이 적색이 아닌 빨간색으로, 소나무가 없다.",False
v235_pixart-sigma,pixart-sigma,bench_v1_014,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_014,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_014,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_015,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_015,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_015,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_016,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_016,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_016,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_017,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_017,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_017,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_018,counting,pass,이미지에는 정확히 4마리의 참새가 보입니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_018,spatial,pass,모든 참새들이 나뭇가지 위에 앉아 있습니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_018,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_019,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_019,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_019,attribute,pass,이미지의 몸통은 주황색과 흰색 줄무늬가 반전되지 않고 유지되어 있습니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_020,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_020,spatial,fail,지구는 태양의 오른쪽에 위치하고 있습니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_020,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_021,counting,fail,연잎은 3장이고 개구리는 2마리가 연잎 위에 앉아 있습니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_021,spatial,pass,개구리가 연잎 위에 앉아 있는 위치는 정확합니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_021,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_022,counting,pass,"이미지에는 빨간 튤립이 2송이, 노란 튤립이 3송이가 있어 색별 수량이 정확합니다.",False
v235_pixart-sigma,pixart-sigma,bench_v1_022,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_022,attribute,pass,이미지에는 빨간 튤립과 노란 튤립이 있어 색상 특성이 명확합니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_023,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_023,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_023,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_024,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_024,spatial,pass,학생은 책상 아래 공간에 들어가 있습니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_024,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_025,counting,fail,이미지는 4명의 사람을 보여주고 있다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_025,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_025,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_026,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_026,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_026,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_027,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_027,spatial,pass,보는 방향에서 국그릇이 밥그릇의 오른쪽에 위치하고 있습니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_027,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_028,counting,pass,"인물은 총 3명으로, 2명이 책을 읽고 1명이 창가에 서 있습니다.",False
v235_pixart-sigma,pixart-sigma,bench_v1_028,spatial,pass,"인물들은 서로 다른 공간에 위치하고 있으며, 책을 읽는 두 명은 테이블에 앉아 있고, 창가에 서 있는 한 명은 창가 옆에 있습니다.",False
v235_pixart-sigma,pixart-sigma,bench_v1_028,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_029,counting,pass,이미지에는 정확히 3개의 접시가 보입니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_029,spatial,fail,오븐은 요리사 뒤 배경에 위치하지 않습니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_029,attribute,pass,요리사는 앞치마가 빨간색입니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_030,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_030,spatial,pass,"아이가 우산 아래에 있으며, 우산이 아이의 머리 위에 위치하고 있습니다.",False
v235_pixart-sigma,pixart-sigma,bench_v1_030,attribute,pass,"아이의 우비는 노란색이고, 우산은 파란색으로 색상이 교차되지 않습니다.",False
v235_pixart-sigma,pixart-sigma,bench_v1_031,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_031,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_031,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_032,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_032,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_032,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_033,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_033,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_033,attribute,pass,"두 인물의 표정은 분노와 기쁨으로 구분되며, 서로 다른 감정을 표현하고 있다.",False
v235_pixart-sigma,pixart-sigma,bench_v1_034,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_034,spatial,fail,"두 아이 모두 바닥에 앉아 있으며, 한 명이 다른 한 명에게 손을 내밀고 있지 않다.",False
v235_pixart-sigma,pixart-sigma,bench_v1_034,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_035,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_035,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_035,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_036,counting,pass,아이가 정확히 3명입니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_036,spatial,pass,"중심 아이가 시무룩하고, 양 옆 아이들이 웃는 표정으로 위치하고 있습니다.",False
v235_pixart-sigma,pixart-sigma,bench_v1_036,attribute,pass,아이들의 표정과 감정이 정확하게 표현되어 있습니다.,False
v235_pixart-sigma,pixart-sigma,bench_v1_037,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_037,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_037,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_038,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_038,spatial,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_038,attribute,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_039,counting,n/a,,False
v235_pixart-sigma,pixart-sigma,bench_v1_039,spatial,n/a,,False
