image,type,source,csd_golden
v251_00_structured_worksheet_template_claude.png,Structured Worksheet Template,claude,0.5038
v251_01_structured_worksheet_template_chatgpt.png,Structured Worksheet Template,chatgpt,0.4976
v251_02_structured_worksheet_template_qwen.png,Structured Worksheet Template,qwen,0.5038
v251_03_data_visualization_chart_claude.png,Data Visualization Chart,claude,0.4556
v251_04_data_visualization_chart_chatgpt.png,Data Visualization Chart,chatgpt,0.5533
v251_05_data_visualization_chart_qwen.png,Data Visualization Chart,qwen,0.6002
v251_06_historical_figure_portrait_claude.png,Historical Figure Portrait,claude,0.4129
v251_07_historical_figure_portrait_chatgpt.png,Historical Figure Portrait,chatgpt,0.4135
v251_08_historical_figure_portrait_qwen.png,Historical Figure Portrait,qwen,0.4347
v251_09_multi_character_classroom_collaboration_claude.png,Multi-Character Classroom Collaboration,claude,0.4096
v251_10_multi_character_classroom_collaboration_chatgpt.png,Multi-Character Classroom Collaboration,chatgpt,0.596
v251_11_multi_character_classroom_collaboration_qwen.png,Multi-Character Classroom Collaboration,qwen,0.537
v251_12_intergenerational_indoor_scene_claude.png,Intergenerational Indoor Scene,claude,0.3136
v251_13_intergenerational_indoor_scene_chatgpt.png,Intergenerational Indoor Scene,chatgpt,0.5435
v251_14_intergenerational_indoor_scene_qwen.png,Intergenerational Indoor Scene,qwen,0.3055
v251_15_single_character_cutout_claude.png,Single-Character Cutout,claude,0.2959
v251_16_single_character_cutout_chatgpt.png,Single-Character Cutout,chatgpt,0.3975
v251_17_single_character_cutout_qwen.png,Single-Character Cutout,qwen,0.5001
v251_18_labeled_science_diagram_claude.png,Labeled Science Diagram,claude,0.524
v251_19_labeled_science_diagram_chatgpt.png,Labeled Science Diagram,chatgpt,0.5257
v251_20_labeled_science_diagram_qwen.png,Labeled Science Diagram,qwen,0.5682
v251_21_geometric_shape_set_claude.png,Geometric Shape Set,claude,0.6749
v251_22_geometric_shape_set_chatgpt.png,Geometric Shape Set,chatgpt,0.6758
v251_23_geometric_shape_set_qwen.png,Geometric Shape Set,qwen,0.69
