image,type,source,csd_golden
v259_00_structured_worksheet_template_claude.png,Structured Worksheet Template,claude,0.4726
v259_01_structured_worksheet_template_chatgpt.png,Structured Worksheet Template,chatgpt,0.5463
v259_02_structured_worksheet_template_qwen.png,Structured Worksheet Template,qwen,0.4726
v259_03_data_visualization_chart_claude.png,Data Visualization Chart,claude,0.4032
v259_04_data_visualization_chart_chatgpt.png,Data Visualization Chart,chatgpt,0.6106
v259_05_data_visualization_chart_qwen.png,Data Visualization Chart,qwen,0.561
v259_06_historical_figure_portrait_claude.png,Historical Figure Portrait,claude,0.3863
v259_07_historical_figure_portrait_chatgpt.png,Historical Figure Portrait,chatgpt,0.2949
v259_08_historical_figure_portrait_qwen.png,Historical Figure Portrait,qwen,0.3361
v259_09_multi_character_classroom_collaboration_claude.png,Multi-Character Classroom Collaboration,claude,0.0752
v259_10_multi_character_classroom_collaboration_chatgpt.png,Multi-Character Classroom Collaboration,chatgpt,0.0855
v259_11_multi_character_classroom_collaboration_qwen.png,Multi-Character Classroom Collaboration,qwen,0.0765
v259_12_intergenerational_indoor_scene_claude.png,Intergenerational Indoor Scene,claude,0.0607
v259_13_intergenerational_indoor_scene_chatgpt.png,Intergenerational Indoor Scene,chatgpt,0.0596
v259_14_intergenerational_indoor_scene_qwen.png,Intergenerational Indoor Scene,qwen,0.5221
v259_15_single_character_cutout_claude.png,Single-Character Cutout,claude,0.4263
v259_16_single_character_cutout_chatgpt.png,Single-Character Cutout,chatgpt,0.4796
v259_17_single_character_cutout_qwen.png,Single-Character Cutout,qwen,0.3714
v259_18_labeled_science_diagram_claude.png,Labeled Science Diagram,claude,0.5163
v259_19_labeled_science_diagram_chatgpt.png,Labeled Science Diagram,chatgpt,0.3519
v259_20_labeled_science_diagram_qwen.png,Labeled Science Diagram,qwen,0.5243
v259_21_geometric_shape_set_claude.png,Geometric Shape Set,claude,0.6192
v259_22_geometric_shape_set_chatgpt.png,Geometric Shape Set,chatgpt,0.692
v259_23_geometric_shape_set_qwen.png,Geometric Shape Set,qwen,0.6429
